"x1" "x2" "y"
"1" 1.419 2.28 1
"2" 0.553 3.838 1
"3" 1.704 2.422 1
"4" 1.331 3.096 1
"5" 1.66 1.397 1
"6" 2.434 1.712 1
"7" 3.578 1.116 1
"8" 2.853 1.59 1
"9" 0.781 3.291 1
"10" 2.844 0.874 1
"11" 0.61 2.887 1
"12" 0.881 3.149 1
"13" 0.604 3.617 1
"14" 0.824 3.018 1
"15" 0.976 2.192 1
"16" 2.383 1.497 1
"17" 2.529 2.173 1
"18" 1.201 2.955 1
"19" 2.502 1.249 1
"20" -0.388 4.542 1
"21" 0.612 3.612 1
"22" -0.21 3.199 1
"23" 2.635 1.184 1
"24" 0.739 3.402 1
"25" 3.504 1.071 1
"26" 2.128 2.819 1
"27" 3.045 1.722 1
"28" 3.451 0.151 1
"29" 1.041 2.678 1
"30" 1.002 2.995 1
"31" 2.349 0.602 1
"32" 1.198 2.923 1
"33" 0.897 2.846 1
"34" 1.523 1.274 1
"35" 1.571 2.243 1
"36" 2.399 2.24 1
"37" 2.545 1.787 1
"38" 1.827 2.523 1
"39" 2.571 0.704 1
"40" 2.327 2.098 1
"41" 2.182 1.429 1
"42" 0.75 2.386 1
"43" 1.759 2.131 1
"44" 3.817 0.299 1
"45" 1.042 2.705 1
"46" 2.564 2.446 1
"47" 2.818 1.961 1
"48" 1.853 2.233 1
"49" 4.307 0.489 1
"50" 0.103 3.147 1
"51" 5.418 4.037 0
"52" 3.976 4.956 0
"53" 6.961 3.974 0
"54" 4.027 4.376 0
"55" 6.172 3.822 0
"56" 4.945 4.912 0
"57" 5.593 3.792 0
"58" 4.588 4.457 0
"59" 5.114 6.44 0
"60" 6.809 4.206 0
"61" 5.398 4.949 0
"62" 5.6 4.885 0
"63" 5.725 4.871 0
"64" 4.961 5.489 0
"65" 4.162 5.946 0
"66" 4.309 5.854 0
"67" 5.759 5.988 0
"68" 4.064 4.789 0
"69" 2.931 6.767 0
"70" 5.12 4.66 0
"71" 4.519 5.184 0
"72" 6.017 3.672 0
"73" 3.814 6.083 0
"74" 4.94 5.352 0
"75" 3.431 6.763 0
"76" 4.848 5.667 0
"77" 4.689 5.521 0
"78" 3.776 5.888 0
"79" 6.347 4.028 0
"80" 4.322 6.281 0
"81" 5.328 3.76 0
"82" 3.899 5.694 0
"83" 5.815 4.158 0
"84" 5.681 4.764 0
"85" 4.44 5.69 0
"86" 5.941 4.898 0
"87" 6.552 4.981 0
"88" 5.564 3.806 0
"89" 6.232 3.708 0
"90" 5.095 2.962 0
"91" 13.796 10.112 0
"92" 13.988 9.304 0
"93" 14.749 9.246 0
"94" 14.445 9.628 0
"95" 12.587 11.525 0
"96" 14.442 9.594 0
"97" 14.863 8.384 0
"98" 13.997 9.838 0
"99" 13.797 10.776 0
"100" 14.315 10.381 0
